# ProtonVPN free servers — name|ip:port
# Extracted from working NM connections
ca-free-12|79.127.254.92:4569
ca-free-5|149.88.97.122:4569
ch-free-3|138.199.6.178:4569
ch-free-7|149.88.27.234:4569
jp-free-16|45.87.213.226:4569
jp-free-25|91.207.174.2:4569
mx-free-3|149.102.224.33:4569
mx-free-7|149.88.17.182:4569
nl-free-104|212.8.253.137:4569
nl-free-222|185.165.243.20:4569
no-free-10|95.173.205.161:4569
no-free-6|95.173.205.165:4569
pl-free-13|149.102.244.112:4569
ro-free-24|146.70.246.114:4569
ro-free-26|185.252.220.146:4569
sg-free-18|103.216.221.72:4569
sg-free-3|149.50.211.139:4569
us-free-33|149.102.254.90:4569
us-free-79|149.22.84.139:4569
us-free-93|149.22.80.109:4569
